n_flagged,review_rate,threshold,frauds_caught,frauds_missed,false_alarms,recall,precision,cost_missed,cost_caught,cost_false_alarm,total_cost,savings
4425,0.03746570935076371,0.133367081623982,2295.0,1769.0,2130.0,0.5647145669291339,0.5186440677966102,353411.7899999925,44992.25459999995,10650.0,409054.04459999246,302480.29139999964
4484,0.03796525214210723,0.13065470550135108,2308.0,1756.0,2176.0,0.5679133858267716,0.5147190008920607,351161.2629999925,45269.30729999995,10880.0,407310.57029999245,304223.76569999964
4543,0.03846479493345074,0.12847728198203806,2316.0,1748.0,2227.0,0.5698818897637795,0.5097952894563064,349095.71699999255,45507.861899999945,11135.0,405738.5788999925,305795.7570999996
4602,0.038964337724794254,0.1261931146431218,2325.0,1739.0,2277.0,0.5720964566929134,0.5052151238591917,346095.9539999926,45843.83819999994,11385.0,403324.7921999925,308209.5437999996
4661,0.03946388051613777,0.123840752065253,2335.0,1729.0,2326.0,0.5745570866141733,0.5009654580562111,343539.39499999257,46139.494099999945,11630.0,401308.8890999925,310225.4468999996
4720,0.03996342330748129,0.12115741570646137,2347.0,1717.0,2373.0,0.5775098425196851,0.4972457627118644,339802.08099999256,46561.22549999994,11865.0,398228.3064999925,313306.0294999996
4779,0.040462966098824805,0.11890714778442266,2355.0,1709.0,2424.0,0.5794783464566929,0.49278091650973005,337504.99599999253,46822.93399999995,12120.0,396447.9299999925,315086.4059999996
4838,0.04096250889016832,0.11633948776459228,2359.0,1705.0,2479.0,0.5804625984251969,0.48759818106655645,337081.2899999925,46881.304599999945,12395.0,396357.5945999925,315176.7413999996
4897,0.04146205168151184,0.11443679859564047,2371.0,1693.0,2526.0,0.5834153543307087,0.4841739840718807,332823.12099999253,47355.12149999995,12630.0,392808.2424999925,318726.0934999996
4956,0.04196159447285535,0.11241605535227578,2381.0,1683.0,2575.0,0.5858759842519685,0.48042776432606943,331348.4809999926,47542.58549999994,12875.0,391766.0664999925,319768.2694999996
5015,0.04246113726419887,0.11060846338923697,2388.0,1676.0,2627.0,0.5875984251968503,0.4761714855433699,329219.37499999255,47783.496099999946,13135.0,390137.8710999925,321396.4648999996
5074,0.042960680055542384,0.10910765865749797,2397.0,1667.0,2677.0,0.5898129921259843,0.47240835632636974,327544.7439999925,47986.959199999954,13385.0,388916.7031999924,322617.6327999997
5133,0.0434602228468859,0.1070936391530437,2406.0,1658.0,2727.0,0.5920275590551181,0.4687317358270017,323725.7939999925,48404.85419999995,13635.0,385765.6481999924,325768.68779999967
5192,0.04395976563822942,0.10487353401669365,2415.0,1649.0,2777.0,0.594242125984252,0.4651386748844376,318318.3159999925,48981.601999999955,13885.0,381184.91799999244,330349.41799999966
5251,0.044459308429572936,0.10346001843690097,2424.0,1640.0,2827.0,0.5964566929133859,0.46162635688440296,316615.3659999925,49187.89699999995,14135.0,379938.2629999924,331596.0729999997
5310,0.044958851220916446,0.10194033328636286,2428.0,1636.0,2882.0,0.5974409448818898,0.45725047080979286,316142.8159999924,49251.15199999996,14410.0,379803.96799999237,331730.3679999997
5369,0.04545839401225996,0.10055169888924845,2436.0,1628.0,2933.0,0.5994094488188977,0.45371577574967403,313842.5399999924,49513.17959999996,14665.0,378020.7195999924,333513.6163999997
